Patent_Examiner_ID,Name,Salary,Office_ID
500074,Giovanni Guido Agrippa,1625000,2
500075,Leopoldo Torres Aguero,1625000,3
500076,Franciscus Aguilonius,1625000,4
500077,George Charles Aid,1625000,1
500078,Walter Monteith Aikman,1625000,2
500079,Abe Ajay,1625000,3
500080,Kinji Akagawa,1625000,4
500081,Hiroshi Akana,1625000,1
500082,Jan van Aken,1625000,2
500083,Johann von Aken,1625000,3
500084,Frank Akers,1625000,4
500085,Willem Outgertsz Akersloot,1625000,1
500086,Masabikh Fatkhylilamovich Akhunov,1625000,2
500087,Marie Alain,1625000,3
500088,Pier Jacopo Alari Bonacolsi,1625000,4
500089,Francesco Albani,1625000,1
500090,Gerhard Albin Albe,1625000,2
500091,Grace Thurston Arnold Albee,1625000,3
500092,Zanin I Alberghetti,1625000,4
500093,Giovanni Alberghetti I,1625000,1
500094,Anni Albers,1625000,2
500095,Josef Albers,1625000,3
500096,Adolphe Albert,1625000,4
500097,Gaetano Albertazi,1625000,1
500098,Cherubino Alberti,1625000,2
500099,Giovanni Alberti,1625000,3
500100,Leone Battista Alberti,1625000,4
500101,Ferdinando Albertolli,1625000,1
500102,Giocondo Albertolli,1625000,2
500103,Raffaeli Albertolli,1625000,3
500104,Julien Alberts,1625000,4
500105,Karl Albiker,1625000,1
500106,Eleazar Albin,1625000,2
500107,Dewey Albinson,1625000,3
500108,Bernard Siegfried Albinus,1625000,4
500109,Felice Albites,1625000,1
500110,Gertrude Partington Albright,1625000,2
500111,Herman Oliver Albright,1625000,3
500112,Ivan Le Lorraine Albright,1625000,4
500113,Malvin Marr Albright,1625000,1
500114,Edward Albritton,1625000,2
500115,Maxine Albro,1625000,3
500116,Daisy Aldan,1625000,4
500117,Heinrich Aldegrever,1625000,1
500118,Adolf Aldrich,1625000,2
500119,Jacques Aleaume,1625000,3
500120,Pierre Alechinsky,1625000,4
500121,Doris Alexander,1625000,1
500122,Dorothy Alexander,1625000,2
500123,Eleanor Alexander,1625000,3
500124,Esther Frances Alexander,1625000,4
500125,Francesca Alexander,1625000,1
500126,Francis Alexander,1625000,2
500127,William Alexander,1625000,3
500128,Alessandro Algardi,1625000,4
500129,Jacques Aliamet,1625000,1
500130,Samuel Alken,1625000,2
500131,Angelique Allais,1625000,3
500132,William Allan,1625000,4
500133,Carel Allard,1625000,1
500134,lardet ,1625000,2
500135,legretto di Nuzi ,1625000,3
500136,legretto Nuzi ,1625000,4
500137,Antonio Allegri,1625000,1
500138,Francesco Allegrini,1625000,2
500139,Albert Allen,1625000,3
500140,Anne Allen,1625000,4
500141,Courtney Allen,1625000,1
500142,Eldon Allen,1625000,2
500143,James Allen,1625000,3
500144,Joseph Allen,1625000,4
500145,Luther Allen,1625000,1
500146,Giovanni Allet,1625000,2
500147,Jean Charles Allet,1625000,3
500148,Thomas Allom,1625000,4
500149,Alessandro Allori,1625000,1
500150,Alessandro di Cristofano di Lorenzo Allori,1625000,2
500151,Washington Allston,1625000,3
500152,Jenny Almgren,1625000,4
500153,Anna Aloisi,1625000,1
500154,Glen Earl Alps,1625000,2
500155,Charles Alston,1625000,3
500156,Jakob Alt,1625000,4
500157,Jaroslav Alt,1625000,1
500158,Rudolf von Alt,1625000,2
500159,Albrecht Altdorfer,1625000,3
500160,Erhard Altdorfer,1625000,4
500161,Erhard Altdorffer,1625000,1
500162,tichiero da Zevio ,1625000,2
500163,Harold Altman,1625000,3
500164,Andreas Altomonte,1625000,4
500165,Martino Altomonte,1625000,1
500166,John Altoon,1625000,2
500167,Murray Altshuler,1625000,3
500168,Francisco Alvarez,1625000,4
500169,Manuel Alvarez Bravo,1625000,1
500170,vise dal Friso ,1625000,2
500171,Linnet Alward,1625000,3
500172,Amadio Amadei,1625000,4
500173,Filippo Amadei,1625000,1
500174,Giovanni Antonio Amadeo,1625000,2
500175,Hans Amann,1625000,3
500176,Nicholas Amantea,1625000,4
500177,Bartholomeus Amantius,1625000,1
500178,Francesco Amato,1625000,2
500179,brogio da Fossano ,1625000,3
500180,Nancy Amello,1625000,4
500181,Irving Amen,1625000,1
500182,Gregory Amenoff,1625000,2
500183,Emilio Amero,1625000,3
500184,Ezra Ames,1625000,4
500185,Joseph Alexander Ames,1625000,1
500186,Bernardino Amico,1625000,2
500187,Santiago Amiconi,1625000,3
500188,Cuno Amiet,1625000,4
500189,Jacopo Amigoni,1625000,1
500190,Carl Gustav Amling,1625000,2
500191,Karl Gustav von Amling,1625000,3
500192,Jobst Amman,1625000,4
500193,Jost Amman,1625000,1
500194,Klemens Ammon,1625000,2
500195,acreon ,1625000,3
500196,William Anastasi,1625000,4
500197,Harold Anchel,1625000,1
500198,Edouard Ancourt,1625000,2
500199,Niels Yde Andersen,1625000,3
500200,Alexander Anderson,1625000,4
500201,Alfred Charles Stanley Anderson,1625000,1
500202,Carlos Anderson,1625000,2
500203,Clarence William Anderson,1625000,3
500204,Frank Hartley Anderson,1625000,4
500205,James Anderson,1625000,1
500206,Stanley Anderson,1625000,2
500207,Steve Anderson,1625000,3
500208,Therkel Anderson,1625000,4
500209,Walter Anderson,1625000,1
500210,Walter Inglis Anderson,1625000,2
500211,Mamma Andersson,1625000,3
500212,Chieko Ando,1625000,4
500213,Joe Andoe,1625000,1
500214,Carl Andre,1625000,2
500215,Nicolaus Andrea,1625000,3
500216,Zoan Andrea,1625000,4
500217,drea del Castagno ,1625000,1
500218,drea di Bartolo ,1625000,2
500219,drea di Cione ,1625000,3
500220,Andrea Andreani,1625000,4
500221,Johann Anton Andree,1625000,1
500222,Giorgio di Pietro Andreoli,1625000,2
500223,Vincenzo Andreoli,1625000,3
500224,Mariano Andreu,1625000,4
500225,John Andrew,1625000,1
500226,Julia Andrews,1625000,2
500227,Mari Andrews,1625000,3
500228,Sybil Andrews,1625000,4
500229,Pierre Andrieu,1625000,1
500230,Jacques Androuet du Cerceau I,1625000,2
500231,James Roman Andrus,1625000,3
500232,Vera Andrus,1625000,4
500233,Claude Anet,1625000,1
500234,Anthony Angarola,1625000,2
500235,Giuseppe Angeli,1625000,3
500236,Fra Angelico,1625000,4
500237,Pietro de Angelis,1625000,1
500238,Michael Valenti Angelo,1625000,2
500239,Valenti Angelo,1625000,3
500240,Robert Angeloch,1625000,4
500241,Battista Angolo del Moro,1625000,1
500242,Michel Anguier,1625000,2
500243,Jaime de Angulo,1625000,3
500244,Charlotte Angus,1625000,4
500245,William Angus,1625000,1
500246,Boris Anisfield,1625000,2
500247,James Craig Annan,1625000,3
500248,Thomas Annan,1625000,4
500249,Ina Annette,1625000,1
500250,Louis Annino,1625000,2
500251,onymous Artist ,1625000,3
500252,onymous Chinese Liao Dynasty ,1625000,4
500253,onymous Chinese Ming Dynasty ,1625000,1
500254,onymous Chinese Northern Song Dynasty ,1625000,2
500255,onymous Chinese Qing Dynasty ,1625000,3
500256,onymous Chinese Republic ,1625000,4
500257,onymous Chinese Song Dynasty ,1625000,1
500258,onymous Chinese Southern Song Dynasty ,1625000,2
500259,onymous Chinese Tang Dynasty ,1625000,3
500260,onymous Egyptian Ptolemaic Period ,1625000,4
500261,onymous Fabriczy ,1625000,1
500262,onymous Italian ,1625000,2
500263,onymous Italian or French ,1625000,3
500264,onymous Japanese Edo Period ,1625000,4
500265,onymous Korean Koryo Dynasty ,1625000,1
500266,Louis Anquetin,1625000,2
500267,Giovanni Andrea Ansaldo,1625000,3
500268,sano di Pietro di Mencio ,1625000,4
500269,Richard Ansdell,1625000,1
500270,Luggert van Anse,1625000,2
500271,Michelangelo Anselmi,1625000,3
500272,Giovanni Anselmo,1625000,4
500273,Thomas Anshutz,1625000,1
500274,Thomas Pollock Anshutz,1625000,2
500275,Horst Antes,1625000,3
500276,tico ,1625000,4
500277,the Antique,1625000,1
500278,duc de Montpensier Antoine,1625000,2
500279,Stephen Antonakos,1625000,3
500280,Giuseppe Antonelli,1625000,4
500281,Peter Antonelli,1625000,1
500282,tonello da Messina ,1625000,2
500283,tonello della Moneta ,1625000,3
500284,Annapia Antonini,1625000,4
500285,Carlo Antonini,1625000,1
500286,Fra Antonio da Brescia,1625000,2
500287,tonio da Trento ,1625000,3
500288,Garo Zareh Antreasian,1625000,4
500289,Nemesio Antunez,1625000,1
500290,Richard Anuszkiewicz,1625000,2
500291,Petrus Apianus,1625000,3
500292,Guillaume Apollinaire,1625000,4
500293,Karel Appel,1625000,1
500294,Dieter Appelt,1625000,2
500295,Adolphe Appian,1625000,3
500296,Jacques Barthelemy Appian,1625000,4
500297,Andrea Appiani,1625000,1
500298,Andrea Appiani I,1625000,2
500299,Anne Appleby,1625000,3
500300,Francesco Faraone Aquila,1625000,4
500301,Pompeo Aquilano,1625000,1
500302,akawa ,1625000,2
500303,Shusaku Arakawa,1625000,3
500304,Arelia Arbo,1625000,4
500305,Diane Arbus,1625000,1
500306,Alexander Archipenko,1625000,2
500307,Giuseppe Arcimboldo,1625000,3
500308,Agostino Ardenti,1625000,4
500309,Cesare Aretusi,1625000,1
500310,Bartolomeo Argenterio,1625000,2
500311,Michiko Arima,1625000,3
500312,Lodovico Ariosto,1625000,4
500313,Bruce Ariss,1625000,1
500314,Takeshi Arita,1625000,2
500315,Marcel Arland,1625000,3
500316,man ,1625000,4
500317,Ludmila Armata,1625000,1
500318,Emil Armin,1625000,2
500319,Caroline Helena Armington,1625000,3
500320,John Taylor Arms,1625000,4
