Username,Password,Role
100438,Samuel Z. Hicks,Patentee
100440,Claudia S. England,Patentee
100442,Neve E. Sheppard,Patentee
100443,Wynter J. Farley,Patentee
100444,Dorian H. Foreman,Patentee
100446,Cedric A. Logan,Patentee
100455,Michelle R. Hyde,Patentee
100458,Uriel G. Lester,Patentee
100467,Dexter P. Stark,Patentee
100469,Drake F. Morrison,Patentee
100472,Vivien N. Patterson,Patentee
100475,Grace A. Workman,Patentee
100484,Preston D. Gallegos,Patentee
100492,Clinton N. Nash,Patentee
100501,Aretha Q. Snider,Patentee
100508,Connor Y. Alvarado,Patentee
100511,Yvette N. Walsh,Patentee
100516,Ezra G. Preston,Patentee
100524,Kathleen L. Steele,Patentee
100525,Kaye J. Delaney,Patentee
100526,Tanya U. Mcmahon,Patentee
100531,Cynthia A. Hensley,Patentee
100535,Howard I. Yang,Patentee
100539,Nehru D. Mcclain,Patentee
100548,Brett E. Wilder,Patentee
100551,Kelsie R. Harding,Patentee
100554,Signe F. Mills,Patentee
100562,Victor Z. Martin,Patentee
100564,Zachary W. Long,Patentee
100568,Tobias H. Sparks,Patentee
100569,Barclay K. Oneal,Patentee
100578,Wylie A. Holmes,Patentee
100582,Nathaniel Q. Kinney,Patentee
100587,Jana W. Singleton,Patentee
100593,Marshall I. Huber,Patentee
100598,Adena L. Holt,Patentee
100605,Hiram P. Flynn,Patentee
100611,Keith J. Hurley,Patentee
100616,Elijah L. Wells,Patentee
100618,Tyrone M. Keith,Patentee
100622,Abel D. Stuart,Patentee
100631,Jenette C. Perkins,Patentee
100639,Ivana B. Combs,Patentee
100647,Hiram V. Booth,Patentee
100649,Rachel X. Kelley,Patentee
100657,Thor E. Montgomery,Patentee
100661,Kennedy G. Jacobs,Patentee
100669,Charissa S. Underwood,Patentee
100676,Jesse P. Powell,Patentee
100679,Vaughan X. Benjamin,Patentee
100681,Todd M. Abbott,Patentee
100682,Judith T. Grant,Patentee
100689,Rhiannon F. Mcdaniel,Patentee
100692,Elizabeth F. Murphy,Patentee
100699,Kim T. Ellison,Patentee
100703,Knox O. Soto,Patentee
100704,Inga B. Hooper,Patentee
100711,Jordan W. Landry,Patentee
100713,Jemima F. Britt,Patentee
100721,Rhonda S. Marks,Patentee
100724,Matthew I. Levy,Patentee
100730,Dara Y. Rosario,Patentee
100734,Freya R. Knight,Patentee
100736,Lesley I. Weeks,Patentee
100737,Cullen N. Knox,Patentee
100740,Rudyard C. Hensley,Patentee
100741,Fleur P. Cochran,Patentee
100742,Raja D. Logan,Patentee
100749,Russell F. Jacobson,Patentee
100757,Dale T. House,Patentee
100758,Peter C. Morales,Patentee
100763,Nero W. Gates,Patentee
100764,Nina H. Reyes,Patentee
100771,Lee C. Lindsey,Patentee
100772,Declan C. Dickerson,Patentee
100779,Russell K. Bean,Patentee
100786,Colt T. Wilkins,Patentee
100790,Ginger I. Camacho,Patentee
100794,Sasha M. Manning,Patentee
100796,Forrest U. Shepherd,Patentee
100804,Lawrence E. Gallegos,Patentee
100812,Gabriel F. Cherry,Patentee
100815,Callum D. Kane,Patentee
100820,Daniel E. Williamson,Patentee
100827,Hamilton P. Rivera,Patentee
100828,Anastasia L. Willis,Patentee
100830,Julian Z. Jensen,Patentee
100834,Cathleen D. Guy,Patentee
100836,Elaine V. Barton,Patentee
100842,Sydnee E. Gregory,Patentee
100848,Lois P. Leon,Patentee
100857,Melinda U. Mayo,Patentee
100865,Richard V. Kirby,Patentee
100867,Arthur Z. Alvarado,Patentee
100868,Dale L. Duffy,Patentee
100870,Abel T. Merrill,Patentee
100873,Jin P. Wagner,Patentee
100877,Alyssa K. Sharp,Patentee
100884,Hilary A. Edwards,Patentee
100892,Sharon P. Berry,Patentee
100901,Bianca W. Craig,Patentee
100910,Hilel I. Mckee,Patentee
100919,Candice B. Zamora,Patentee
100922,Cody C. Haynes,Patentee
100924,Sylvester K. Mcbride,Patentee
100931,Aiko L. Albert,Patentee
100932,Shelly X. Hyde,Patentee
100933,Boris O. Chapman,Patentee
100941,Sebastian G. Reeves,Patentee
100946,Maris T. Schultz,Patentee
100952,Fleur X. Vance,Patentee
100961,Yoshio A. Webb,Patentee
100970,Solomon Z. WestIndividuals,Patentee
100978,Byron V. Ward,Patentee
100987,Linda O. Donaldson,Patentee
100995,Hayfa W. Nelson,Patentee
101001,Mechelle K. Bright,Patentee
101002,Denise Q. Higgins,Patentee
101008,Maya X. England,Patentee
101016,Jakeem W. Bray,Patentee
101020,April S. Harrell,Patentee
101026,Randall P. Pollard,Patentee
101030,Doris L. Cummings,Patentee
101039,Jeremy A. Kerr,Patentee
101043,Zia Y. Ramos,Patentee
101045,Marcia M. Hopper,Patentee
101048,Eagan C. Mclaughlin,Patentee
101054,Lynn T. Fitzpatrick,Patentee
101055,Adam B. Sutton,Patentee
101056,Hu H. Martinez,Patentee
101061,Demetria J. Byrd,Patentee
101067,Beau N. Rosales,Patentee
101070,Regina Y. Whitley,Patentee
101076,Katell J. Prince,Patentee
101081,Wilma Y. Mcfadden,Patentee
101087,Maggy A. Newton,Patentee
101093,Emery W. Stafford,Patentee
101094,Rinah N. Huff,Patentee
101102,Liberty Z. Dalton,Patentee
101104,Mary G. Jordan,Patentee
101108,Driscoll O. Foreman,Patentee
101116,Sophia H. Barr,Patentee
101123,Sierra M. Vaughan,Patentee
101132,Conan V. Bright,Patentee
101136,Forrest W. Hodges,Patentee
101140,Michael J. Rowland,Patentee
101142,Josiah H. Reynolds,Patentee
101150,Xantha D. Poole,Patentee
101152,Rafael Q. Ballard,Patentee
101153,Desiree Q. Macias,Patentee
101162,Rhoda D. Camacho,Patentee
101167,Bree T. Mcclain,Patentee
101168,Clinton Q. Harper,Patentee
101176,Darrel Y. Sellers,Patentee
101181,Lionel J. Mccray,Patentee
101186,Dane Y. Delgado,Patentee
101193,Alyssa W. Mcfarland,Patentee
101201,Warren D. Soto,Patentee
101207,Leigh Z. Caldwell,Patentee
101214,Clarke M. Porter,Patentee
101217,Hammett X. Eaton,Patentee
101224,Petra V. Livingston,Patentee
101226,Tatyana B. Ortiz,Patentee
101231,Optum,Patentee
101240,Nielsen,Patentee
101242,Video Research Ltd.,Patentee
101248,Equifax,Patentee
101251,Kantar,Patentee
101253,QuintilesIMS,Patentee
101259,Ipsos,Patentee
101263,Gartner,Patentee
101266,GfK,Patentee
101268,Verisk Analytics,Patentee
101270,IRI,Patentee
101273,Acxiom Corp.,Patentee
101280,Tableau Software,Patentee
101285,Experian Consumer insight,Patentee
101289,"Westat, Inc.",Patentee
101294,Rocket Fuel,Patentee
101301,Wood Mackenzie,Patentee
101303,Dunnhumby,Patentee
101307,Intage Holdings,Patentee
101315,Harte-Hanks Marketing,Patentee
101323,iDC,Patentee
101332,Informa Financial Intelligence,Patentee
101340,NPD Group,Patentee
101343,J.D. Power,Patentee
101351,comScore,Patentee
101352,Macromill,Patentee
101354,Simon-Kucher & Partners,Patentee
101358,Qualtrics,Patentee
101363,Gallup,Patentee
101369,"Research Now Group, Inc",Patentee
101371,ICF International,Patentee
101372,Information Services Group,Patentee
101374,Forrester Research,Patentee
101383,SurveyMonkey,Patentee
101388,Toluna,Patentee
101397,DRG (Decision Resources Group),Patentee
101399,MaritzCX,Patentee
101400,Survey Sampling International,Patentee
101404,Abt SRBI,Patentee
101412,LRW (Lieberman Research Worldwide),Patentee
101418,GlobalData Plc,Patentee
101425,YouGov,Patentee
101434,Leger,Patentee
101438,Mediametrie,Patentee
101445,ORC International,Patentee
101447,Creston,Patentee
101455,National Research Corp,Patentee
101456,FocusVision,Patentee
101465,PRS IN VIVO,Patentee
101466,NRC health,Patentee
101474,Cello health,Patentee
101475,Teradata UK,Patentee
101482,Euromonitor,Patentee
101490,Confirmit,Patentee
101498,Vision Critical,Patentee
101505,C Space,Patentee
101513,Mintel Group,Patentee
101517,Google Analytics 360,Patentee
101518,Blueocean Market Intelligence,Patentee
101527,"Burke, Inc.",Patentee
101531,Periscope by McKinsey,Patentee
101539,Ebiquity,Patentee
101543,Schlesinger Associates,Patentee
101546,Medallia,Patentee
101554,Convergys Analytics,Patentee
101557,Market Strategies International,Patentee
101558,MarketCast,Patentee
101563,"Morpace, Inc.",Patentee
101571,Nepa AB,Patentee
101576,Market Force,Patentee
101579,Service Management Group (SMG),Patentee
101585,Idea Couture,Patentee
101587,LRA by Deloitte,Patentee
101595,Focus Pointe Global,Patentee
101602,Directions Research,Patentee
101604,Precise Media Monitoring,Patentee
101611,Hanover Research,Patentee
101618,MARU / Matchbox,Patentee
101627,Environics,Patentee
101629,De La Riva Group,Patentee
101635,SKIM,Patentee
101642,Phoenix Marketing International,Patentee
101647,MarketVision Research,Patentee
101649,Radius Global Market Research,Patentee
101653,Simmons Research,Patentee
101655,NatCen,Patentee
101657,Brainjuicer,Patentee
101659,Kelton,Patentee
101666,Fors Marsh Group,Patentee
101671,Provokers,Patentee
101675,Isobar Marketing Intelligence,Patentee
101677,Insites Consulting,Patentee
101684,Hall & Partners,Patentee
101687,SSRS,Patentee
101692,Decision Analyst,Patentee
101699,Twitter,Patentee
101704,Double Helix,Patentee
101710,The Link Group,Patentee
101717,Flamingo Research,Patentee
101722,MMR Research Worldwide,Patentee
101723,Zappistore,Patentee
101729,20/20 Research,Patentee
101733,Forethought Research,Patentee
101742,Gongos,Patentee
101745,Stylus,Patentee
101749,Acturus,Patentee
101755,Lucid,Patentee
101760,The Research Partnership,Patentee
101763,NAXIoN,Patentee
101769,KS&R,Patentee
101772,QuestionPro,Patentee
101781,Bellomy Research,Patentee
101790,Chadwick Martin Bailey,Patentee
101797,Illuminas,Patentee
101803,Frost & Sullivan,Patentee
101811,Hypothesis Group,Patentee
101819,Future Thinking,Patentee
101827,RTi Research,Patentee
101833,Azure Knowledge,Patentee
101841,Cint,Patentee
101849,Luth,Patentee
101853,Netbase,Patentee
101856,WorldOne Research,Patentee
101865,Hay Group Insight,Patentee
101867,Amazon Mechanical Turk,Patentee
101874,Hotspex Inc,Patentee
101876,Populus group,Patentee
101877,BDRC Continental,Patentee
101881,Defaqto,Patentee
101885,SurveyGizmo,Patentee
101889,Eolas International,Patentee
101893,Incite Marketing Planning,Patentee
101894,Markit Economics,Patentee
101899,Adelphi international Research,Patentee
101906,Q Research Solutions,Patentee
101913,Datamonitor,Patentee
101919,InCrowd Inc,Patentee
101927,Firefish,Patentee
101928,Realeyes,Patentee
101932,MSW ARS,Patentee
101938,Business Research group,Patentee
101945,Avention UK,Patentee
101953,Quadrangle,Patentee
101960,Marketing sciences Unlimited,Patentee
101963,Strategy Analytics,Patentee
101965,Brandtrust,Patentee
101974,iCM Research Unlimited,Patentee
101977,2CV,Patentee
101981,The Planning shop international,Patentee
101987,Ameritest,Patentee
101992,Chinese Academy of Sciences (CAS),Patentee
101997,Peking University (PKU),Patentee
102005,Nanjing University (NJU),Patentee
102007,University of Science and Technology of China (USTC),Patentee
102012,Nankai University (NKU),Patentee
102014,Zhejiang University (ZJU),Patentee
102016,Fudan University,Patentee
102022,Tsinghua University (TH),Patentee
102028,Soochow University,Patentee
102030,University of Oxford,Patentee
102038,Institute for Basic Science (IBS),Patentee
102045,Stanford University,Patentee
102049,East China Normal University (ECNU),Patentee
102056,Hunan University (HNU),Patentee
102062,Sichuan University (SCU),Patentee
102070,Indian Institutes of Technology (IITs),Patentee
102075,Xiamen University (XMU),Patentee
102078,The University of Manchester (UoM),Patentee
102079,King Abdullah University of Science and Technology (KAUST),Patentee
102086,Nanyang Technological University (NTU),Patentee
102095,Chongqing University (CQU),Patentee
102099,Swiss Federal Institute of Technology in Lausanne (EPFL),Patentee
102108,Imperial College London (ICL),Patentee
102112,Indian Institute of Science Education and Research (IISER),Patentee
102121,Southwest University (SWU),Patentee
102125,Technion-Israel Institute of Technology (IIT),Patentee
102126,Tianjin University (TJU),Patentee
102135,Wuhan University (WHU),Patentee
102138,Baylor College of Medicine (BCM),Patentee
102140,Helmholtz Association of German Research Centres,Patentee
102146,North Carolina State University (NCSU),Patentee
102149,Stockholm University,Patentee
102155,University of Chinese Academy of Sciences (UCAS),Patentee
102162,Sun Yat-sen University (SYSU),Patentee
102165,Jilin University (JLU),Patentee
102170,Lanzhou University (LZU),Patentee
102172,McGill University,Patentee
102180,East China University of Science and Technology (ECUST),Patentee
102189,Hong Kong University of Science and Technology (HKUST),Patentee
102192,South China University of Technology (SCUT),Patentee
102194,University of Southampton (Soton),Patentee
102199,Xi'an Jiaotong University (XJTU),Patentee
102205,Harbin Institute of Technology (HIT),Patentee
102213,University College London (UCL),Patentee
102215,Changzhou University (CZU),Patentee
102219,Huazhong University of Science and Technology (HUST),Patentee
102225,King's College London (KCL),Patentee
102228,Swiss Federal Institute of Technology Zurich (ETH Zurich),Patentee
102231,Italian Institute of Technology (IIT),Patentee
102234,Ulsan National Institute of Science and Technology (UNIST),Patentee
102243,Oak Ridge National Laboratory (ORNL),Patentee
102247,University of New South Wales (UNSW),Patentee
102252,Beijing Normal University (BNU),Patentee
102260,Central South University (CSU),Patentee
102269,Shaanxi Normal University (SNNU),Patentee
102276,Shandong Normal University (SDNU),Patentee
102285,The Rockefeller University,Patentee
102293,The University of Queensland (UQ),Patentee
102294,University of Regensburg (UR),Patentee
102295,Tata Institute of Fundamental Research (TIFR),Patentee
102304,Beijing University of Chemical Technology (BUCT),Patentee
102311,South University of Science and Technology of China (SUSTC),Patentee
102318,University of Sussex (US),Patentee
102320,Zhengzhou University (ZZU),Patentee
102323,University of Zurich (UZH),Patentee
102326,Indian Institute of Science (IISc),Patentee
102330,Perimeter Institute for Theoretical Physics (PI),Patentee
102335,University of Pennsylvania (Penn),Patentee
102339,Jagiellonian University (UJ),Patentee
102346,Council of Scientific and Industrial Research (CSIR),Patentee
102355,University of Münster (WWU),Patentee
102364,Beihang University (BUAA),Patentee
102365,Lund University (LU),Patentee
102372,University of Bath,Patentee
102381,National Institute for Health and Medical Research (INSERM),Patentee
102382,University of Erlangen-Nuremberg (FAU),Patentee
102384,University of Copenhagen (UCPH),Patentee
102385,Tongji University,Patentee
102387,U.S. Geological Survey (USGS),Patentee
102393,University of Michigan (U-M),Patentee
102395,São Paulo State University (UNESP),Patentee
102402,University of Basel (UB),Patentee
102405,University of Würzburg,Patentee
102411,University of Girona (UdG),Patentee
102414,Heidelberg University (Uni Heidelberg),Patentee
102416,University of Leeds,Patentee
102425,Pierre and Marie Curie University (UPMC) - Paris 6,Patentee
102428,Southeast University (SEU),Patentee
102434,Leibniz Association,Patentee
102443,University of Nebraska-Lincoln (UNL),Patentee
102447,Saint Petersburg State University (SPbGU),Patentee
102451,National Aeronautics and Space Administration (NASA),Patentee
102452,Umeå University (UMU),Patentee
102456,Curtin University,Patentee
102463,University of Turin (UNITO),Patentee
102466,University of Warsaw (UW),Patentee
102468,University of Stuttgart,Patentee
102473,Nanjing University of Science and Technology (NUST),Patentee
102475,Lawrence Berkeley National Laboratory (LBNL),Patentee
102480,Nanjing Normal University (NNU),Patentee
345001,William Perkins Babcock,Patent_Attorney
345002,Dirck van Baburen,Patent_Attorney
345003,Ferdinand Bac,Patent_Attorney
345004,cchiacca ,Patent_Attorney
345005,Ferdinand Sigismond Bach,Patent_Attorney
345006,Julie Bach,Patent_Attorney
345007,Herman Ilfeld Bacharach,Patent_Attorney
345008,Gaston Bachelard,Patent_Attorney
345009,Otto Henry Bacher,Patent_Attorney
345010,chiacca ,Patent_Attorney
345011,ciccia ,Patent_Attorney
345012,ciccio ,Patent_Attorney
345013,Ludolf Backhuysen,Patent_Attorney
345014,Francis Bacon,Patent_Attorney
345015,Peggy Bacon,Patent_Attorney
345016,Sisto Badalocchio,Patent_Attorney
345017,Aiko Baden,Patent_Attorney
345018,Ken Baden,Patent_Attorney
345019,Stanley Baden,Patent_Attorney
345020,Herman Bader,Patent_Attorney
345021,Joseph Badger,Patent_Attorney
345022,Libero Badii,Patent_Attorney
345023,Ferdinand Badin,Patent_Attorney
345024,George Baer,Patent_Attorney
345025,Jo Baer,Patent_Attorney
345026,Martin Baes,Patent_Attorney
345027,Ernst Willem Jan Bagelaar,Patent_Attorney
345028,Lloyd Baggs,Patent_Attorney
345029,Giovanni Baglione,Patent_Attorney
345030,Cesare da Bagno,Patent_Attorney
345031,Evelyn Bailey,Patent_Attorney
345032,Oscar Bailey,Patent_Attorney
345033,William Bailey,Patent_Attorney
345034,Captain Baillie,Patent_Attorney
345035,William Baillie,Patent_Attorney
345036,Pieter de Bailliu,Patent_Attorney
345037,Pieter de the Elder Bailliu,Patent_Attorney
345038,Enrico Baj,Patent_Attorney
345039,Lamar Baker,Patent_Attorney
345040,Lynn Baker,Patent_Attorney
345041,Oliver Mozart Baker,Patent_Attorney
345042,Tim Baker,Patent_Attorney
345043,Timothy Baker,Patent_Attorney
345044,William Robert Baker,Patent_Attorney
345045,Ludolf Bakhuysen,Patent_Attorney
345046,Leon Bakst,Patent_Attorney
345047,Leon Nicolaevitch Bakst,Patent_Attorney
345048,Lev Samoilovich Bakst,Patent_Attorney
345049,Dirk Baksteen,Patent_Attorney
345050,Mark Balakjian,Patent_Attorney
345051,lco ,Patent_Attorney
345052,Lowell Leroy Balcom,Patent_Attorney
345053,ldassare da Siena ,Patent_Attorney
345054,ldassare da Volterra ,Patent_Attorney
345055,ldassare Estense ,Patent_Attorney
345056,John Baldassari,Patent_Attorney
345057,Lucas Baldes,Patent_Attorney
345058,John Baldessari,Patent_Attorney
345059,John Anthony Baldessari,Patent_Attorney
345060,Bernardino Baldi,Patent_Attorney
345061,Baccio Baldini,Patent_Attorney
345062,Bartolomeo Baldini,Patent_Attorney
345063,Cyrus LeRoy Baldridge,Patent_Attorney
345064,Giovanni Balducci,Patent_Attorney
345065,Giovanni Balducci,Patent_Attorney
345066,Hans Baldung,Patent_Attorney
345067,Hans Baldung Grien,Patent_Attorney
345068,John Baldwin,Patent_Attorney
345069,Robert Baldwin,Patent_Attorney
345070,Antonio Balestra,Patent_Attorney
345071,Helen Balfour,Patent_Attorney
345072,Maxwell Balfour,Patent_Attorney
345073,Kathryn Uhl Ball,Patent_Attorney
345074,Lillian Ball,Patent_Attorney
345075,Giacomo Balla,Patent_Attorney
345076,Chris Ballantyne,Patent_Attorney
345077,Harold Ballerd,Patent_Attorney
345078,Albert de Balleroy,Patent_Attorney
345079,Maxil Ballinger,Patent_Attorney
345080,Leah Balsham,Patent_Attorney
345081,Louis Pierre Baltard,Patent_Attorney
345082,Pieter Balten,Patent_Attorney
345083,Pieter Baltens,Patent_Attorney
345084,Carel Balth,Patent_Attorney
345085,lthasar Klossowski de Rola ,Patent_Attorney
345086,lthus ,Patent_Attorney
345087,ltimore Lord ,Patent_Attorney
345088,Lewis Baltz,Patent_Attorney
345089,Luigi Balugani,Patent_Attorney
345090,il Bambaia,Patent_Attorney
345091,mboccio ,Patent_Attorney
345092,William Bambridge,Patent_Attorney
345093,Pieter van der Banck,Patent_Attorney
345094,Baccio Bandinelli,Patent_Attorney
345095,Bartolomeo Bandinelli,Patent_Attorney
345096,Moses Bank,Patent_Attorney
345097,Thomas Banks,Patent_Attorney
345098,Walter Darby Bannard,Patent_Attorney
345099,Alexander Bannerman,Patent_Attorney
345100,Beatrice Harper Banning,Patent_Attorney
345101,Belle Baranceaneau,Patent_Attorney
345102,Belle Goldschlager Baranceaneau,Patent_Attorney
345103,Antonio Baratta,Patent_Attorney
345104,Daniel Barbaro,Patent_Attorney
345105,Bernardino Barbatelli,Patent_Attorney
345106,Jean Barbault,Patent_Attorney
345107,Francesco Barbazza,Patent_Attorney
345108,Jack Barber,Patent_Attorney
345109,Jean Barbet,Patent_Attorney
345110,Antonio Barbey,Patent_Attorney
345111,Domenico del Barbiere,Patent_Attorney
345112,Giovanni Francesco Barbieri,Patent_Attorney
345113,Salvador Barbudo Sanchez,Patent_Attorney
345114,James Bard,Patent_Attorney
345115,Phillip Bard,Patent_Attorney
345116,Jean Hippolyte Bardin,Patent_Attorney
345117,Guy Bardone,Patent_Attorney
345118,rend van Brussel ,Patent_Attorney
345119,Dirck Barendsz,Patent_Attorney
345120,Jared Bark,Patent_Attorney
345121,Albert Winslow Barker,Patent_Attorney
345122,George Barker,Patent_Attorney
345123,John Jesse Barker,Patent_Attorney
345124,Thomas Barker,Patent_Attorney
345125,rker of Bath ,Patent_Attorney
345126,Ernst Barlach,Patent_Attorney
345127,Francis Barlow,Patent_Attorney
345128,Inigo Barlow,Patent_Attorney
345129,Lou Barlow,Patent_Attorney
345130,Louis Barlow,Patent_Attorney
345131,Herbert Barnard,Patent_Attorney
345132,rnes ,Patent_Attorney
345133,Ada Barnes,Patent_Attorney
345134,Will Barnet,Patent_Attorney
345135,Gerard Barnett,Patent_Attorney
345136,Herbert Phillip Barnett,Patent_Attorney
345137,Richard Barnett,Patent_Attorney
345138,Tina Barney,Patent_Attorney
345139,Melanie Eve Barocas,Patent_Attorney
345140,Federico Barocci,Patent_Attorney
345141,Jill Baroff,Patent_Attorney
345142,Acavie Baron,Patent_Attorney
345143,Bernard Baron,Patent_Attorney
345144,Hannelore Baron,Patent_Attorney
345145,Henri Charles Antoine Baron,Patent_Attorney
345146,Giuseppe Baroni,Patent_Attorney
345147,Martin Barooshian,Patent_Attorney
345148,Burt Barr,Patent_Attorney
345149,Norman Barr,Patent_Attorney
345150,Johan Barra,Patent_Attorney
345151,Eugene Barrell,Patent_Attorney
345152,Carlo Barrera,Patent_Attorney
345153,George Barret,Patent_Attorney
345154,Lawrence Barrett,Patent_Attorney
345155,Thomas Weeks Barrett,Patent_Attorney
345156,Conrado Barrio,Patent_Attorney
345157,Thomas Barrow,Patent_Attorney
345158,Charles Barrows,Patent_Attorney
345159,Anna Barry,Patent_Attorney
345160,James Barry,Patent_Attorney
345161,Robert Barry,Patent_Attorney
345162,Andrzej Bartczak,Patent_Attorney
345163,Marcia Bartholme,Patent_Attorney
345164,Edward Sheffield Bartholomew,Patent_Attorney
345165,Dana Bartlett,Patent_Attorney
345166,Elwood Warren Bartlett,Patent_Attorney
345167,Ivan Bartlett,Patent_Attorney
345168,Jennifer Bartlett,Patent_Attorney
345169,Jennifer Losch Bartlett,Patent_Attorney
345170,Richard Franklin Bartlett,Patent_Attorney
345171,William Henry Bartlett,Patent_Attorney
345172,Francesco Bartoli,Patent_Attorney
345173,Pietro Santo Bartoli,Patent_Attorney
345174,Lorenzo Bartolini,Patent_Attorney
345175,Luciano Bartolini,Patent_Attorney
345176,Andrea di Bartolo,Patent_Attorney
345177,Domenico di Bartolo da Venezia,Patent_Attorney
345178,Andrea di Bartolo di Simone,Patent_Attorney
345179,rtolomeo da Murano ,Patent_Attorney
345180,rtolomeo Veneto ,Patent_Attorney
345181,Fra Bartolommeo,Patent_Attorney
345182,rtolommeo di Paolo ,Patent_Attorney
345183,Francesco Bartolozzi,Patent_Attorney
345184,Cleon Barton,Patent_Attorney
345185,Loren Roberta Barton,Patent_Attorney
345186,Robert Barton,Patent_Attorney
345187,Adam von Bartsch,Patent_Attorney
345188,Walter Frederick Bartsch,Patent_Attorney
345189,Eugene Bartz,Patent_Attorney
345190,Hendrick Bary,Patent_Attorney
345191,Marco Basaiti,Patent_Attorney
345192,Afro Basaldella,Patent_Attorney
345193,san ,Patent_Attorney
345194,Ruth Henshaw Bascom,Patent_Attorney
345195,Johann Bernhard Basedow,Patent_Attorney
345196,Georg Baselitz,Patent_Attorney
345197,Edward Bashaw,Patent_Attorney
345198,James Basire I,Patent_Attorney
345199,Leonard Baskin,Patent_Attorney
345200,Antonio Basoli,Patent_Attorney
160000,"3 Round Stones, Inc.",Applicant
160001,48 Factoring Inc.,Applicant
160002,5PSolutions,Applicant
160003,Abt Associates,Applicant
160004,Accela,Applicant
160005,Accenture,Applicant
160006,AccuWeather,Applicant
160007,Acxiom,Applicant
160008,Adaptive,Applicant
160009,Adobe Digital Government,Applicant
160010,Aidin,Applicant
160011,Alarm.com,Applicant
160012,Allianz,Applicant
160013,Allied Van Lines,Applicant
160014,AllState Insurance Group,Applicant
160015,Alltuition,Applicant
160016,Altova,Applicant
160017,Amazon Web Services,Applicant
160018,American Red Ball Movers,Applicant
160019,Amida Technology Solutions,Applicant
160020,Analytica,Applicant
160021,Apextech LLC,Applicant
160022,Appallicious,Applicant
160023,Aquicore,Applicant
160024,Archimedes Inc.,Applicant
160025,AreaVibes Inc.,Applicant
160026,Arpin Van Lines,Applicant
160027,Arrive Labs,Applicant
160028,ASC Partners,Applicant
160029,Asset4,Applicant
160030,Atlas Van Lines,Applicant
160031,AtSite,Applicant
160032,"Aunt Bertha, Inc.",Applicant
